createdDate,lastModifiedDate,createdBy,dtxsid,selected,casrn,compoundId,genericSubstanceId,preferredName,activeAssays,cpdataCount,isotope,molFormula,averageMass,monoisotopicMass,multicomponent,percentAssays,pubchemCount,pubmedCount,qcLevel,qcLevelDesc,sourcesCount,stereo,totalAssays,toxcastSelect,iupacName,smiles,inchiString,inchiKey,hasStructureImage,relatedSubstanceCount,relatedStructureCount,endpointName,ac50,hitc,logAc50,scaledTop,top,bmad,maxMedVal,maxMedConc,_links
,,,DTXSID0020076,False,61-82-5,76.0,20076,Amitrole,2,17.0,0.0,C2H4N4,84.082,84.043596145,0,1.0,255.0,7089.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",87,0.0,385,2/385,"1H-1,2,4-Triazol-3-amine",NC1=NNC=N1,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)
",KLSJWNVTNUYHDU-UHFFFAOYSA-N,True,1.0,,OT_ER_ERbERb_0480,50.0,0,1.6989700043360187,3.455541817211081E-12,6.911083634422162e-11,3.037949489469852,2.8709883880406,2.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f595a5'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f595a5{?projection}', 'templated': True}}"
,,,DTXSID0020105,False,134-03-2,105.0,20105,Sodium L-ascorbate,14,131.0,0.0,C6H7NaO6,198.106,198.01403223,1,2.0,73.0,38756.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",61,1.0,620,14/620,"Sodium (2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2,5-dihydrofuran-3-olate",[Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-],"InChI=1S/C6H8O6.Na/c7-1-2(8)5-3(9)4(10)6(11)12-5;/h2,5,7-10H,1H2;/q;+1/p-1/t2-,5+;/m0./s1
",PPASLZSBLFJQEF-RXSVEWSESA-M,True,,,OT_ER_ERbERb_0480,,0,,,,3.037949489469852,-0.723079929646278,1.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f597ba'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f597ba{?projection}', 'templated': True}}"
,,,DTXSID0020022,False,50594-66-6,22.0,20022,Acifluorfen,48,3.0,0.0,C14H7ClF3NO5,361.66,360.9964845,0,7.0,98.0,50.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",75,0.0,680,48/680,5-[2-Chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,"InChI=1S/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)
",NUFNQYOELLVIPL-UHFFFAOYSA-N,True,8.0,8.0,OT_ER_ERbERb_0480,,0,,,,3.037949489469852,-0.243270815349603,-0.522878745280338,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d0a6d0b67997f58e77'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d0a6d0b67997f58e77{?projection}', 'templated': True}}"
,,,DTXSID0020107,False,22839-47-0,107.0,20107,Aspartame,2,36.0,0.0,C14H18N2O5,294.307,294.121571688,0,0.0,182.0,862.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",69,1.0,409,2/409,Methyl L-alpha-aspartyl-L-phenylalaninate,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,"InChI=1S/C14H18N2O5/c1-21-14(20)11(7-9-5-3-2-4-6-9)16-13(19)10(15)8-12(17)18/h2-6,10-11H,7-8,15H2,1H3,(H,16,19)(H,17,18)/t10-,11-/m0/s1",IAOZJIPTCAWIRG-QWRGUYRKSA-N,True,4.0,4.0,OT_ER_ERbERb_0480,50.0,0,1.6989700043360187,1.449544052734083E-12,2.899088105468166e-11,3.037949489469852,0.296704461163506,2.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f59a68'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f59a68{?projection}', 'templated': True}}"
,,,DTXSID0020286,False,95-74-9,286.0,20286,3-Chloro-4-methylaniline,9,,0.0,C7H8ClN,141.6,141.034527,0,3.0,147.0,11.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",57,0.0,357,9/357,3-Chloro-4-methylaniline,CC1=C(Cl)C=C(N)C=C1,"InChI=1S/C7H8ClN/c1-5-2-3-6(9)4-7(5)8/h2-4H,9H2,1H3
",RQKFYFNZSHWXAW-UHFFFAOYSA-N,True,1.0,1.0,OT_ER_ERbERb_0480,50.0,0,1.6989700043360187,0.03794089498083453,0.7588178996166905,3.037949489469852,1.4055688995641,0.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5a935'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5a935{?projection}', 'templated': True}}"
,,,DTXSID0020311,False,150-68-5,311.0,20311,Monuron,16,32.0,0.0,C9H11ClN2O,198.65,198.0559907,0,3.0,97.0,24.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",89,0.0,598,16/598,"N'-(4-Chlorophenyl)-N,N-dimethylurea",CN(C)C(=O)NC1=CC=C(Cl)C=C1,"InChI=1S/C9H11ClN2O/c1-12(2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)
",BMLIZLVNXIYGCK-UHFFFAOYSA-N,True,1.0,,OT_ER_ERbERb_0480,50.0,0,1.6989700043360187,8.917030928461031E-12,1.7834061856922063e-10,3.037949489469852,0.0411974732216409,-0.522878745280338,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5ab07'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5ab07{?projection}', 'templated': True}}"
,,,DTXSID0020232,False,58-08-2,232.0,20232,Caffeine,49,918.0,0.0,C8H10N4O2,194.194,194.080375578,0,8.0,384.0,21207.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",133,0.0,652,49/652,"1,3,7-Trimethyl-3,7-dihydro-1H-purine-2,6-dione",CN1C=NC2=C1C(=O)N(C)C(=O)N2C,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3
",RYYVLZVUVIJVGH-UHFFFAOYSA-N,True,17.0,15.0,OT_ER_ERbERb_0480,,0,,,,3.037949489469852,-0.319030148349019,-0.522878745280338,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5a043'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5a043{?projection}', 'templated': True}}"
,,,DTXSID0020319,False,1897-45-6,319.0,20319,Chlorothalonil,341,165.0,0.0,C8Cl4N2,265.9,263.8815588,0,46.0,146.0,251.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",108,0.0,737,341/737,"2,4,5,6-Tetrachlorobenzene-1,3-dicarbonitrile",ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,"InChI=1S/C8Cl4N2/c9-5-3(1-13)6(10)8(12)7(11)4(5)2-14
",CRQQGFGUEAVUIL-UHFFFAOYSA-N,True,45.0,34.0,OT_ER_ERbERb_0480,0.2412430015596994,0,-0.6175452766498286,0.5977204776760193,11.954409553520387,3.037949489469852,12.875072728784,0.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5aec1'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5aec1{?projection}', 'templated': True}}"
,,,DTXSID0020446,False,330-54-1,446.0,20446,Diuron,86,51.0,0.0,C9H10Cl2N2O,233.09,232.0170184,0,12.0,165.0,1257.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",146,0.0,701,86/701,"N'-(3,4-Dichlorophenyl)-N,N-dimethylurea",CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)
",XMTQQYYKAHVGBJ-UHFFFAOYSA-N,True,13.0,9.0,OT_ER_ERbERb_0480,0.03000000817861423,0,-1.522878626882786,0.08225364851326541,1.6450729702653084,3.037949489469852,5.11396601740572,-0.522878745280338,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5bd47'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5bd47{?projection}', 'templated': True}}"
,,,DTXSID0020494,False,756-79-6,494.0,20494,Dimethyl methylphosphonate,2,12.0,0.0,C3H9O3P,124.076,124.028931148,0,1.0,105.0,84.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",73,0.0,356,2/356,Dimethyl methylphosphonate,COP(C)(=O)OC,"InChI=1S/C3H9O3P/c1-5-7(3,4)6-2/h1-3H3",VONWDASPFIQPDY-UHFFFAOYSA-N,True,1.0,,OT_ER_ERbERb_0480,50.0,0,1.6989700043360187,9.418284398648009E-13,1.8836568797296017e-11,3.037949489469852,0.827034237438862,-0.522878745280338,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5c157'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/65fb56d1a6d0b67997f5c157{?projection}', 'templated': True}}"
